School,OFF Rating,DEF Rating,OVR Rating,OFF Rank,DEF Rank,OVR Rank
Incarnate Word Academy,45.16,35.08,80.24,1,1,1
Staley,40.43,34.83,75.26,3,2,2
Lee's Summit West,42.01,23.53,65.55,2,9,3
Principia,33.4,22.66,56.06,7,10,4
Strafford,35.88,19.47,55.35,4,15,5
Jackson,28.58,26.0,54.57,16,3,6
Kickapoo,30.73,22.51,53.24,11,11,7
Lutheran St. Charles,33.26,19.81,53.07,8,14,8
Rock Bridge,32.29,20.57,52.86,10,13,9
Tipton,33.23,18.32,51.56,9,22,10
Liberty North,34.24,14.97,49.21,5,44,11
Logan-Rogersville,30.03,17.64,47.67,14,23,12
Centralia,23.23,24.36,47.59,33,7,13
West Plains,33.7,13.23,46.93,6,60,14
Benton,27.96,18.73,46.68,19,19,15
Park Hill South,22.0,23.71,45.71,38,8,16
Marshfield,26.55,18.79,45.34,20,18,17
Clopton,28.45,16.82,45.27,17,32,18
Cor Jesu Academy,20.41,24.43,44.85,43,6,19
Lafayette (St. Joseph),19.05,25.3,44.36,51,4,20
Cardinal Ritter,29.65,14.54,44.19,15,46,21
Republic,22.06,21.5,43.56,36,12,22
St. Teresa's Academy,18.65,24.9,43.55,55,5,23
Doniphan,24.55,18.91,43.46,26,17,24
Marquette,30.08,12.73,42.82,13,64,25
Troy Buchanan,25.34,17.46,42.79,22,27,26
Lift for Life Academy Charter,25.65,16.16,41.8,21,35,27
Liberty,24.46,17.24,41.71,27,29,28
St. Joseph's Academy,27.99,13.37,41.37,18,58,29
Nixa,24.55,15.48,40.03,25,42,30
Hickman,21.23,17.47,38.7,41,26,31
North Kansas City,22.74,15.62,38.36,34,41,32
Oak Park,30.3,7.79,38.09,12,115,33
Ursuline Academy,23.64,14.41,38.05,30,50,34
Boonville,25.3,12.25,37.55,23,71,35
John Burroughs,23.48,14.04,37.53,31,54,36
Webb City,24.97,12.34,37.31,24,69,37
Francis Howell,18.44,16.54,34.98,56,33,38
Lee's Summit,17.85,17.04,34.89,59,30,39
Rolla,23.79,10.94,34.73,28,80,40
Miller,22.03,12.18,34.21,37,72,41
McDonald County,16.7,17.42,34.12,64,28,42
Eureka,20.04,14.08,34.11,44,53,43
Grain Valley,22.39,11.65,34.03,35,77,44
Park Hill,16.12,17.58,33.7,66,25,45
Raymore-Peculiar,19.21,14.09,33.29,50,52,46
MICDS,20.87,11.61,32.48,42,78,47
Skyline,21.61,10.76,32.38,39,85,48
Highland,15.63,16.09,31.72,69,36,49
Helias Catholic,19.81,11.8,31.61,48,75,50
St. Vincent,14.75,16.83,31.58,74,31,51
Hillcrest,17.28,13.96,31.25,60,55,52
Chillicothe,12.86,18.35,31.21,87,21,53
Grandview,16.55,14.33,30.88,65,51,54
St. Dominic,14.78,15.86,30.64,73,40,55
University City,15.83,14.45,30.28,68,48,56
Jefferson City,21.48,8.75,30.22,40,103,57
Norwood,14.17,15.89,30.06,78,39,58
Ozark,13.47,16.46,29.94,81,34,59
Willard,23.77,5.04,28.81,29,156,60
Branson,19.83,8.41,28.24,46,105,61
Blue Springs,9.27,18.59,27.85,123,20,62
Ft. Zumwalt South,10.14,17.61,27.75,113,24,63
St. Francis Borgia,18.06,9.5,27.56,58,96,64
Farmington,12.36,15.1,27.46,94,43,65
Maryville,17.26,10.03,27.29,61,91,66
Lutheran South,16.88,10.34,27.22,63,89,67
Kearney,13.22,13.96,27.18,84,56,68
Bolivar,15.54,11.08,26.61,70,79,69
Harrisburg,15.47,10.73,26.21,71,86,70
Hillsboro,12.85,13.16,26.01,88,61,71
Glendale,6.96,19.0,25.96,153,16,72
Savannah,13.98,11.96,25.94,79,74,73
Smithville,12.67,12.96,25.62,89,62,74
Kirkwood,9.2,15.99,25.19,125,38,75
Kennett,15.47,9.68,25.15,72,95,76
St. Elizabeth,14.2,10.89,25.09,77,81,77
California,19.43,5.65,25.08,49,145,78
Francis Howell Central,12.02,12.66,24.68,98,65,79
Marionville,13.74,10.36,24.1,80,88,80
Nevada,8.06,16.01,24.07,136,37,81
Blue Springs South,11.61,12.0,23.61,104,73,82
North Point,8.83,14.71,23.54,130,45,83
Lincoln College Prep,11.05,12.45,23.49,109,68,84
St. Pius X (Festus),13.22,9.89,23.12,83,92,85
Portageville,14.56,8.1,22.66,76,109,86
Festus,20.0,2.53,22.53,45,200,87
Oak Grove,12.07,10.42,22.49,97,87,88
Hazelwood Central,12.01,10.22,22.23,99,90,89
Crocker,9.64,12.3,21.95,119,70,90
Delta,23.48,-2.35,21.12,32,291,91
Battle,7.38,13.68,21.06,146,57,92
Osage,15.87,4.46,20.33,67,163,93
Hazelwood West,18.81,1.3,20.11,53,223,94
St. Michael the Archangel,6.54,13.35,19.89,160,59,95
Whitfield,12.55,7.16,19.72,91,122,96
Ash Grove,10.6,9.1,19.7,110,100,97
Kirksville,10.36,9.17,19.53,111,98,98
Northeast (Cairo),12.37,6.99,19.36,93,124,99
Lafayette (Wildwood),5.99,12.88,18.88,167,63,100
St. Charles West,7.89,10.84,18.73,139,83,101
South Shelby,11.75,6.9,18.65,103,126,102
Father Tolton,19.82,-1.16,18.65,47,264,103
St. Pius X (Kansas City),13.16,5.08,18.24,85,155,104
Bunker,9.93,8.16,18.09,115,107,105
Walnut Grove,9.66,8.39,18.05,118,106,106
Potosi,9.89,8.06,17.95,116,112,107
Ladue Horton Watkins,17.19,0.47,17.66,62,242,108
Thayer,18.36,-1.11,17.24,57,262,109
Camdenton,18.98,-1.77,17.21,52,280,110
Webster Groves,9.22,7.83,17.05,124,114,111
Mid-Buchanan,4.34,12.61,16.96,190,67,112
Iberia,18.66,-1.71,16.95,54,278,113
Cassville,11.86,4.98,16.84,101,158,114
Notre Dame de Sion,11.13,5.7,16.83,108,144,115
Smith-Cotton,10.14,6.58,16.72,114,132,116
Carrollton,2.14,14.53,16.67,220,47,117
North County,9.11,7.33,16.43,127,120,118
Chadwick,6.2,9.8,16.01,165,93,119
Carl Junction,7.88,8.08,15.96,140,110,120
Chaffee,13.35,2.54,15.9,82,198,121
New Franklin,3.81,11.74,15.56,196,76,122
Marceline,7.22,8.11,15.33,149,108,123
Francis Howell North,11.19,4.14,15.32,106,169,124
STEAM Academy,12.63,2.68,15.31,90,195,125
Odessa,12.49,2.7,15.19,92,193,126
Knob Noster,12.22,2.78,15.0,96,191,127
Arcadia Valley,11.17,3.68,14.86,107,178,128
Barstow,5.68,9.18,14.86,174,97,129
Pembroke Hill,2.19,12.65,14.84,219,66,130
Rock Port,7.32,7.36,14.68,147,119,131
Westran,5.49,9.12,14.62,178,99,132
Dixon,6.47,7.91,14.38,162,113,133
Appleton City,7.51,6.71,14.22,143,129,134
Clever,9.86,4.22,14.09,117,168,135
Bismarck,9.41,4.58,13.99,120,162,136
Glasgow,7.25,6.68,13.93,148,130,137
Ft. Zumwalt West,3.05,10.88,13.93,210,82,138
Adrian,7.4,6.49,13.89,145,134,139
Butler,6.44,7.37,13.81,163,118,140
Fatima,7.62,6.18,13.8,142,139,141
Waynesville,8.24,5.54,13.78,132,146,142
St. James,-0.82,14.43,13.61,264,49,143
Monroe City,4.05,9.03,13.07,194,101,144
Paris with Faith Walk,7.09,5.97,13.06,151,141,145
Orchard Farm,5.33,7.64,12.98,179,116,146
Oakville,7.5,5.2,12.7,144,151,147
Seckman,11.47,1.19,12.66,105,227,148
Willow Springs,8.53,4.07,12.6,131,171,149
Russellville,11.93,0.36,12.29,100,245,150
Lockwood,5.9,6.2,12.1,168,138,151
Clayton,9.35,2.31,11.66,121,207,152
Cuba,1.71,9.79,11.5,228,94,153
Lone Jack,6.34,5.13,11.47,164,154,154
Archie,3.19,8.06,11.25,209,111,155
Canton,9.32,1.82,11.14,122,217,156
Lindbergh,4.68,6.26,10.94,185,137,157
South Harrison,6.61,4.31,10.92,159,167,158
Parkway North,8.0,2.76,10.76,137,192,159
El Dorado Springs,3.58,7.17,10.75,199,121,160
Reeds Spring,-0.11,10.83,10.72,253,84,161
Hermann,3.86,6.77,10.63,195,127,162
Lawson,6.48,4.09,10.57,161,170,163
Blair Oaks,8.0,2.56,10.56,138,197,164
Alton,4.43,6.08,10.52,188,140,165
Platte County,1.87,8.55,10.42,225,104,166
Neelyville,8.22,2.19,10.41,133,211,167
Pierce City,11.81,-1.56,10.25,102,275,168
Twin Rivers,5.21,4.97,10.17,181,159,169
Parkway South,14.69,-4.58,10.11,75,330,170
Jamestown,3.38,6.51,9.89,204,133,171
Sullivan,4.16,4.83,8.99,192,161,172
Liberty (Wentzville),3.28,5.44,8.72,207,149,173
Mark Twain,9.13,-0.69,8.43,126,260,174
Scotland County,8.87,-0.66,8.2,129,259,175
Linn,6.69,1.17,7.86,155,229,176
Richland,5.81,1.95,7.75,171,215,177
Mountain Grove,8.07,-0.33,7.75,135,254,178
Vienna,5.85,1.83,7.68,170,216,179
Carthage,1.33,6.35,7.68,233,136,180
Fort Osage,4.44,3.22,7.66,187,185,181
Montgomery County,2.4,5.15,7.55,216,153,182
Ft. Zumwalt North,7.14,0.19,7.33,150,248,183
Joplin,2.14,5.18,7.32,221,152,184
Mound City,2.81,4.37,7.17,213,166,185
Mt. Vernon,5.6,1.2,6.8,175,226,186
North Shelby,4.93,1.81,6.74,182,218,187
Perryville,7.0,-0.48,6.53,152,256,188
Stanberry,3.49,2.98,6.47,201,189,189
Southern Boone,0.02,6.38,6.4,251,135,190
Mexico,12.99,-6.81,6.18,86,366,191
Louisiana,3.41,2.68,6.1,202,196,192
La Plata,5.87,0.22,6.08,169,247,193
Higbee,12.26,-6.38,5.88,95,358,194
Pleasant Hill,10.19,-4.41,5.78,112,326,195
Holt,6.9,-1.43,5.47,154,271,196
Greenwood,4.24,1.14,5.38,191,230,197
Aurora,1.47,3.89,5.36,232,175,198
Osceola,5.51,-0.17,5.35,177,252,199
Wheatland,0.87,4.45,5.32,240,164,200
Springfield Catholic,-1.66,6.71,5.05,274,128,201
East Newton,-1.74,6.65,4.91,275,131,202
Bishop LeBlond,-2.28,7.15,4.87,285,123,203
Belle,0.83,4.04,4.87,241,173,204
Winfield,3.3,1.39,4.69,205,222,205
Silex,2.22,2.31,4.53,218,206,206
Malden,6.62,-2.11,4.51,158,286,207
Macon,2.01,2.47,4.48,223,203,208
Northwest (Hughesville),0.91,3.36,4.28,239,184,209
Gainesville,0.74,3.43,4.16,242,181,210
Richmond,2.51,1.57,4.09,215,221,211
Harrisonville,1.52,2.48,4.0,231,202,212
Central (Park Hills),-1.54,5.48,3.94,272,148,213
Truman,1.85,1.99,3.84,226,213,214
Couch,5.27,-1.65,3.61,180,277,215
Monett,5.8,-2.21,3.59,172,289,216
Albany,0.39,3.13,3.52,247,186,217
Fair Grove,1.11,2.39,3.5,236,205,218
Eldon,7.79,-4.37,3.42,141,324,219
Winnetonka,6.14,-2.73,3.41,166,302,220
Excelsior Springs,5.73,-2.43,3.3,173,294,221
Washington,-2.79,5.93,3.14,287,142,222
Timberland,-0.66,3.74,3.08,261,176,223
Licking,0.48,2.53,3.01,245,199,224
Gilman City with North Daviess,-0.19,3.06,2.87,255,187,225
Central (St. Joseph),-5.93,8.79,2.86,326,102,226
Central (Cape Girardeau),3.29,-0.58,2.71,206,257,227
Hartville,-0.77,3.43,2.66,263,180,228
Mehlville,-2.87,5.49,2.62,289,147,229
St. Charles,-2.2,4.37,2.17,282,165,230
Warrensburg,4.84,-2.75,2.1,183,303,231
Knox County,-5.39,7.47,2.09,317,117,232
Marion County,3.39,-1.42,1.97,203,270,233
Buffalo,-0.52,2.22,1.7,258,209,234
North Platte,2.9,-1.3,1.6,212,267,235
Crane,-1.86,3.39,1.54,277,183,236
Nerinx Hall,1.67,-0.15,1.52,229,251,237
Lee's Summit North,1.07,0.44,1.51,237,244,238
Warrenton,0.64,0.82,1.46,243,236,239
Duchesne,0.5,0.63,1.13,244,240,240
Lebanon,8.09,-7.08,1.01,134,372,241
Steelville,3.5,-2.62,0.89,200,297,242
Fredericktown,-0.57,1.27,0.7,260,224,243
Sparta,0.2,0.5,0.69,249,241,244
Fayette,0.42,0.11,0.53,246,249,245
Stoutland,8.91,-8.49,0.42,128,384,246
Marion C. Early,-1.04,1.06,0.02,270,231,247
Lathrop,4.83,-4.97,-0.14,184,337,248
West Platte,-1.97,1.78,-0.19,280,219,249
Moberly,-0.92,0.72,-0.2,268,237,250
Bakersfield,-0.88,0.66,-0.22,267,239,251
Lafayette County,-2.01,1.76,-0.26,281,220,252
Stover,1.77,-2.12,-0.36,227,287,253
Crest Ridge,-0.52,0.04,-0.48,259,250,254
Parkway Central,-3.98,3.44,-0.54,301,179,255
Green City,5.52,-6.17,-0.65,176,353,256
Palmyra,1.98,-2.71,-0.74,224,301,257
Van-Far,-4.9,4.05,-0.85,314,172,258
Schuyler County,-0.18,-0.89,-1.07,254,261,259
University Academy Charter,-6.49,5.37,-1.12,336,150,260
Lamar,3.67,-4.85,-1.17,198,335,261
Stockton,-3.26,1.96,-1.29,291,214,262
Eugene,1.14,-2.46,-1.32,235,295,263
Elsberry,-7.73,5.93,-1.8,356,143,264
St. Clair,2.13,-3.98,-1.86,222,320,265
Hannibal,-0.4,-1.47,-1.87,256,272,266
Dora,-6.76,4.87,-1.88,341,160,267
Greenville,3.25,-5.13,-1.88,208,338,268
Oak Ridge,6.64,-8.85,-2.22,156,391,269
Blue Eye,-6.21,3.92,-2.28,329,174,270
Princeton,-5.48,3.05,-2.43,319,188,271
Community,-3.51,0.94,-2.57,296,233,272
Fordland,-9.68,6.98,-2.7,380,125,273
Lexington,-0.43,-2.41,-2.84,257,293,274
Notre Dame (Cape Girardeau),-3.14,0.23,-2.91,290,246,275
Westminster Christian Academy,-3.37,0.45,-2.92,293,243,276
Hume,-0.86,-2.08,-2.94,265,284,277
Fox,-1.07,-1.92,-2.99,271,282,278
Worth County,-2.83,-0.27,-3.1,288,253,279
Parkway West,-5.97,2.7,-3.27,327,194,280
Sikeston,2.68,-5.98,-3.3,214,350,281
Rockwood Summit,-4.53,1.22,-3.31,306,225,282
Laquey,0.21,-3.58,-3.36,248,314,283
Plattsburg,-5.64,2.12,-3.52,321,212,284
Sarcoxie,3.02,-6.63,-3.61,211,362,285
Clearwater,6.63,-10.26,-3.63,157,416,286
Van Buren,-0.67,-3.05,-3.72,262,307,287
Salisbury,-4.75,1.0,-3.75,309,232,288
Meadville,-4.8,0.83,-3.97,312,235,289
Belton,-4.9,0.88,-4.02,313,234,290
Grundy County with Newtown-Harris,-6.9,2.83,-4.07,344,190,291
Saxony Lutheran,0.93,-5.32,-4.39,238,340,292
Union,-5.7,1.18,-4.52,322,228,293
Central (New Madrid County),-1.95,-2.66,-4.61,279,299,294
Poplar Bluff,-6.91,2.26,-4.65,345,208,295
Marshall,-8.15,3.41,-4.75,362,182,296
William Chrisman,1.15,-5.91,-4.76,234,347,297
Salem,-0.86,-3.91,-4.77,266,319,298
West County,4.61,-9.78,-5.17,186,405,299
Liberty (Mountain View),3.68,-9.14,-5.46,197,396,300
Green Ridge,-3.4,-2.08,-5.48,294,285,301
Van Horn,-6.3,0.71,-5.58,332,238,302
East Buchanan,-1.94,-3.73,-5.67,278,316,303
Greenfield with Golden City,-4.08,-1.79,-5.86,302,281,304
Veritas Christian Academy,-8.48,2.52,-5.96,369,201,305
Spokane,4.14,-10.18,-6.04,193,414,306
Calvary Lutheran,-4.28,-1.94,-6.23,304,283,307
Capital City,-2.21,-4.54,-6.75,283,329,308
Hollister,-0.07,-7.05,-7.12,252,371,309
St. Joseph Christian,-6.55,-0.58,-7.13,338,258,310
South Nodaway with Jefferson (Conception),-6.22,-1.22,-7.44,330,266,311
Brunswick,-1.56,-5.94,-7.5,273,349,312
Southwest (Washburn),-3.84,-3.74,-7.58,299,317,313
Pacific,-9.84,2.21,-7.63,384,210,314
Mercer,-11.37,3.7,-7.67,398,177,315
Notre Dame (St. Louis),-3.43,-4.41,-7.84,295,327,316
Jefferson (Festus),4.39,-12.27,-7.88,189,439,317
Dexter,-7.16,-1.35,-8.51,348,269,318
Bloomfield with Richland (Essex),-7.03,-1.64,-8.66,347,276,319
Summit Christian Academy,-7.2,-1.51,-8.71,350,273,320
Villa Duchesne,-8.46,-0.35,-8.81,368,255,321
Cameron,-2.68,-6.39,-9.07,286,359,322
King City,-14.22,5.04,-9.18,420,157,323
Concordia,-6.88,-2.39,-9.27,343,292,324
Holden,-7.76,-1.53,-9.29,357,274,325
Versailles,-4.59,-4.8,-9.39,308,334,326
Ellington,2.31,-12.01,-9.7,217,435,327
Newburg,-2.25,-7.66,-9.91,284,375,328
Warsaw,-3.56,-6.36,-9.92,297,357,329
Maysville,-8.26,-1.73,-9.99,365,279,330
Lutheran North,-5.73,-4.49,-10.22,323,328,331
Cole Camp,-7.27,-3.18,-10.45,351,310,332
Dadeville,-7.67,-3.06,-10.73,355,308,333
Raytown South,-9.63,-1.15,-10.78,379,263,334
Ste. Genevieve,-7.34,-3.65,-10.99,353,315,335
Diamond,-6.39,-4.8,-11.19,335,333,336
Pattonville,-5.57,-5.77,-11.34,320,345,337
Milan,-8.23,-3.25,-11.49,364,312,338
DeKalb,-8.08,-3.44,-11.53,360,313,339
Puxico,-3.67,-7.95,-11.62,298,380,340
Forsyth,-7.29,-4.39,-11.68,352,325,341
West Nodaway with Nodaway-Holt,-6.91,-4.85,-11.77,346,336,342
Charleston,1.59,-13.66,-12.07,230,452,343
DeSoto,-0.92,-11.32,-12.24,269,430,344
New Haven,-14.71,2.41,-12.3,424,204,345
Scott City,-4.31,-8.01,-12.32,305,381,346
Santa Fe,-9.41,-2.96,-12.37,375,306,347
Kelly,-4.77,-7.65,-12.42,310,374,348
Owensville,-9.81,-2.66,-12.47,382,300,349
Miller Career Academy with Sumner,-6.34,-6.28,-12.62,333,355,350
Central (Springfield),-10.46,-2.18,-12.64,390,288,351
Fulton,-6.7,-5.93,-12.64,340,348,352
Seneca,-3.91,-8.75,-12.66,300,389,353
Midway,-11.49,-1.34,-12.82,400,268,354
South Callaway,-4.79,-8.1,-12.89,311,382,355
Lakeland,-1.75,-11.27,-13.02,276,429,356
North Harrison,-10.59,-2.55,-13.14,392,296,357
Northland Christian,-7.36,-5.81,-13.16,354,346,358
South Iron,0.03,-13.29,-13.26,250,449,359
Naylor,-6.52,-7.1,-13.62,337,373,360
East Carter,-4.56,-9.11,-13.68,307,395,361
Valle Catholic with St. Paul Lutheran (Farmington),-5.34,-8.39,-13.73,316,383,362
Sherwood,-7.18,-6.86,-14.04,349,370,363
Christian Fellowship Sr.,-10.28,-3.86,-14.13,386,318,364
North Andrew,-11.44,-2.77,-14.21,399,304,365
Wellington-Napoleon,-8.91,-5.45,-14.36,373,342,366
Jasper,-9.43,-5.3,-14.73,376,339,367
Visitation Academy,-8.68,-6.3,-14.98,371,356,368
Ava,-9.1,-6.05,-15.16,374,351,369
Brashear,-9.88,-5.36,-15.24,385,341,370
Center,-6.69,-8.54,-15.24,339,387,371
New Heights Christian,-6.26,-8.99,-15.25,331,394,372
Neosho,-5.45,-9.96,-15.41,318,409,373
Raytown,-3.28,-12.44,-15.72,292,441,374
Bucklin with Macon County,-9.58,-6.83,-16.41,378,367,375
Woodland,-13.85,-2.62,-16.47,416,298,376
North Callaway,-10.77,-6.27,-17.04,395,354,377
Liberal,-10.37,-6.71,-17.08,387,364,378
New Covenant Academy,-7.96,-9.27,-17.23,358,398,379
Tarkio with Fairfax,-11.66,-5.62,-17.28,402,343,380
Drexel,-10.7,-6.64,-17.34,394,363,381
Montrose with Ballard,-16.27,-1.21,-17.48,436,265,382
Windsor (Imperial),-11.02,-6.56,-17.58,396,361,383
Putnam County,-5.87,-11.89,-17.76,325,434,384
Houston,-6.87,-11.09,-17.96,342,428,385
Brookfield,-11.59,-6.74,-18.33,401,365,386
Prairie Home,-5.06,-13.37,-18.43,315,450,387
Sacred Heart,-14.47,-4.09,-18.56,422,322,388
Lutheran (Kansas City),-8.04,-11.02,-19.06,359,425,389
St. Paul Lutheran (Concordia),-12.25,-6.85,-19.1,405,369,390
Faith Christian Academy,-11.37,-7.82,-19.2,397,377,391
Tuscumbia,-6.34,-12.96,-19.3,334,446,392
Hazelwood East,-12.91,-6.45,-19.37,411,360,393
Scott County Central,-4.2,-15.18,-19.39,303,464,394
Clinton,-13.79,-5.63,-19.42,415,344,395
Gallatin,-14.92,-4.65,-19.57,426,331,396
Sturgeon,-9.83,-9.76,-19.59,383,404,397
McCluer North,-16.43,-3.24,-19.67,437,311,398
Union Star,-10.59,-9.31,-19.9,391,401,399
Hallsville,-12.1,-7.93,-20.04,404,379,400
Fair Play,-12.35,-7.9,-20.25,406,378,401
Brentwood,-5.83,-14.54,-20.37,324,457,402
Campbell,-8.14,-12.43,-20.57,361,440,403
Weaubleau,-10.42,-10.75,-21.17,388,422,404
Wright City,-9.51,-11.72,-21.23,377,432,405
Hardin-Central,-9.74,-12.07,-21.8,381,437,406
Otterville,-12.63,-9.27,-21.9,408,397,407
Northwest (Cedar Hill),-13.2,-9.27,-22.48,412,399,408
Trenton,-19.68,-2.92,-22.59,458,305,409
Clark County,-20.37,-2.26,-22.63,461,290,410
Halfway,-12.85,-10.65,-23.5,409,420,411
Lincoln,-19.14,-4.74,-23.88,453,332,412
Mansfield,-14.72,-9.28,-24.0,425,400,413
McAuley Catholic,-14.02,-10.01,-24.03,419,411,414
Bowling Green,-15.99,-8.5,-24.49,435,385,415
Hayti,-8.33,-16.34,-24.68,366,470,416
School of the Ozarks,-12.58,-12.18,-24.76,407,438,417
Sweet Springs,-17.13,-7.72,-24.85,441,376,418
Tri-County,-15.68,-9.44,-25.12,431,403,419
South Pemiscot,-19.24,-6.07,-25.31,454,352,420
Billings with Hurley,-8.61,-16.89,-25.49,370,478,421
Pattonsburg,-15.08,-10.46,-25.54,427,418,422
Climax Springs,-16.6,-8.97,-25.58,438,393,423
Ewing Marion Kauffman,-16.85,-8.83,-25.68,439,390,424
Penney,-15.58,-10.21,-25.79,430,415,425
Parkview,-15.95,-10.1,-26.06,434,412,426
Crystal City,-8.16,-17.95,-26.11,363,484,427
Exeter,-10.44,-15.82,-26.26,389,465,428
Ft. Zumwalt East,-17.18,-9.33,-26.52,442,402,429
Slater with Malta Bend,-17.85,-8.69,-26.55,447,388,430
Conway,-23.58,-3.16,-26.74,478,309,431
Norborne,-14.38,-12.66,-27.04,421,444,432
Cabool,-10.64,-17.16,-27.79,393,479,433
Macks Creek,-13.51,-14.5,-28.0,414,456,434
Hermitage,-12.86,-15.15,-28.01,410,462,435
Koshkonong,-6.09,-22.51,-28.6,328,500,436
Winston,-17.07,-11.7,-28.77,440,431,437
Everton,-8.72,-20.14,-28.86,372,494,438
Northeast Vernon County with Rich Hill,-14.0,-14.86,-28.86,418,459,439
Novinger,-11.8,-17.22,-29.02,403,480,440
Maplewood-Richmond Hts.,-19.35,-9.85,-29.2,455,407,441
Bourbon,-19.42,-9.81,-29.23,457,406,442
Polo,-20.71,-8.53,-29.24,463,386,443
Central (Kansas City),-17.41,-12.06,-29.47,443,436,444
North Nodaway,-25.24,-4.28,-29.51,482,323,445
Thomas Jefferson Independent Day,-18.53,-11.09,-29.62,450,427,446
Wheaton,-15.79,-13.9,-29.68,433,454,447
Senath-Hornersville,-13.96,-16.17,-30.13,417,469,448
Northeast Nodaway,-19.83,-10.41,-30.25,459,417,449
Holcomb,-19.93,-10.73,-30.66,460,421,450
Chilhowee,-15.74,-15.08,-30.82,432,461,451
South Holt,-20.76,-10.17,-30.93,464,413,452
Plato,-24.23,-6.83,-31.06,480,368,453
Osborn with Stewartsville,-27.07,-4.01,-31.08,488,321,454
Jennings,-15.23,-15.93,-31.17,428,467,455
La Monte,-18.37,-12.83,-31.2,449,445,456
Herculaneum,-17.73,-13.81,-31.53,445,453,457
Valley Park,-15.33,-16.37,-31.69,429,472,458
Bunceton,-13.51,-18.45,-31.95,413,487,459
Atlanta,-21.22,-10.96,-32.18,468,424,460
Pilot Grove,-20.55,-11.8,-32.35,462,433,461
Pleasant Hope,-19.41,-12.99,-32.4,456,448,462
Riverview Gardens,-17.89,-15.01,-32.89,448,460,463
Verona,-8.36,-24.71,-33.08,367,506,464
Lesterville,-23.23,-9.87,-33.1,476,408,465
Tina-Avalon,-17.8,-16.05,-33.84,446,468,466
Braymer,-23.55,-10.95,-34.5,477,423,467
Sheldon,-24.69,-10.47,-35.16,481,419,468
Niangua,-18.69,-16.61,-35.3,451,477,469
Cainsville with Ridgeway,-17.46,-17.85,-35.32,444,482,470
Purdy,-21.31,-14.02,-35.33,469,455,471
Windsor,-21.76,-13.58,-35.34,472,451,472
Bishop DuBourg,-21.62,-14.77,-36.39,471,458,473
Humansville,-24.04,-12.49,-36.53,479,442,474
Wellsville-Middletown,-25.5,-11.09,-36.59,484,426,475
Kingsville,-21.98,-15.16,-37.15,473,463,476
McCluer,-20.93,-16.57,-37.5,465,476,477
Orrick,-28.0,-10.0,-38.0,492,410,478
Ruskin,-29.77,-8.96,-38.73,498,392,479
Bayless,-26.32,-12.53,-38.85,487,443,480
Madison,-14.63,-25.85,-40.48,423,508,481
Metro,-21.59,-19.71,-41.31,470,492,482
Smithton,-22.53,-19.16,-41.7,474,489,483
Hogan Prep Academy Charter,-21.13,-20.66,-41.79,467,495,484
KIPP KC Legacy,-25.77,-17.29,-43.06,485,481,485
Miami (Amoret),-20.96,-22.42,-43.38,466,499,486
Collegiate School of Med-Bio Science,-27.25,-16.4,-43.65,489,473,487
Bevier,-27.92,-16.35,-44.27,491,471,488
KIPP St. Louis Sr.,-28.16,-16.43,-44.6,493,474,489
Bronaugh,-25.88,-18.97,-44.85,486,488,490
Ritenour,-32.8,-12.98,-45.78,499,447,491
Linn County,-22.75,-23.1,-45.85,475,502,492
Grandview (Hillsboro),-28.23,-17.98,-46.21,494,485,493
Gateway Science Charter,-27.53,-19.17,-46.69,490,490,494
Confluence Prep Academy Charter with Grand Center Arts Charter,-19.0,-28.46,-47.45,452,515,495
Normandy Collaborative,-29.31,-18.34,-47.66,497,486,496
New Bloomfield,-28.32,-20.96,-49.28,495,496,497
Galena,-25.33,-25.69,-51.02,483,507,498
Northwestern (Mendon) with Keytesville,-29.15,-22.63,-51.77,496,501,499
Paseo Academy,-36.19,-16.49,-52.69,501,475,500
Rosati-Kain,-36.64,-17.93,-54.57,503,483,501
Leeton,-39.8,-15.9,-55.7,509,466,502
Columbia Independent,-37.12,-19.63,-56.75,505,491,503
Kingston,-34.01,-23.1,-57.12,500,503,504
Valley,-40.84,-21.76,-62.6,511,497,505
Northeast (Kansas City),-42.65,-20.1,-62.75,513,493,506
Chamois,-37.16,-26.15,-63.31,506,510,507
Guadalupe Centers Charter,-37.45,-25.92,-63.38,507,509,508
Affton,-36.86,-27.65,-64.51,504,512,509
Hale with Bosworth,-38.26,-27.71,-65.96,508,513,510
Southwest (Livingston County) with Breckenridge,-40.09,-26.22,-66.31,510,511,511
East Prairie,-36.35,-30.2,-66.55,502,516,512
Hancock,-45.5,-21.97,-67.47,514,498,513
Vashon,-41.7,-28.45,-70.15,512,514,514
DeLaSalle Charter (KC),-54.48,-23.6,-78.07,516,504,515
Believe Acad Charter,-55.1,-23.81,-78.91,517,505,516
