School,OFF Rating,DEF Rating,OVR Rating,OFF Rank,DEF Rank,OVR Rank
Principia,33.4,22.66,56.06,1,2,1
Centralia,23.23,24.36,47.59,2,1,2
Skyline,21.61,10.76,32.38,3,7,3
Highland,15.63,16.09,31.72,6,4,4
St. Vincent,14.75,16.83,31.58,7,3,5
Ash Grove,10.6,9.1,19.7,10,8,6
Father Tolton,19.82,-1.16,18.65,4,38,7
Thayer,18.36,-1.11,17.24,5,37,8
Mid-Buchanan,4.34,12.61,16.96,25,6,9
Carrollton,2.14,14.53,16.67,35,5,10
Arcadia Valley,11.17,3.68,14.86,9,27,11
Dixon,6.47,7.91,14.38,18,10,12
Adrian,7.4,6.49,13.89,14,16,13
Butler,6.44,7.37,13.81,19,11,14
Fatima,7.62,6.18,13.8,13,17,15
Monroe City,4.05,9.03,13.07,26,9,16
Willow Springs,8.53,4.07,12.6,12,25,17
Lone Jack,6.34,5.13,11.47,20,21,18
South Harrison,6.61,4.31,10.92,16,23,19
El Dorado Springs,3.58,7.17,10.75,30,12,20
Hermann,3.86,6.77,10.63,27,14,21
Lawson,6.48,4.09,10.57,17,24,22
Pierce City,11.81,-1.56,10.25,8,41,23
Twin Rivers,5.21,4.97,10.17,21,22,24
Mark Twain,9.13,-0.69,8.43,11,36,25
Montgomery County,2.4,5.15,7.55,34,20,26
Springfield Catholic,-1.66,6.71,5.05,46,15,27
Bishop LeBlond,-2.28,7.15,4.87,51,13,28
Belle,0.83,4.04,4.87,41,26,29
Macon,2.01,2.47,4.48,36,30,30
Fair Grove,1.11,2.39,3.5,39,31,31
Licking,0.48,2.53,3.01,42,28,32
North Platte,2.9,-1.3,1.6,33,39,33
Steelville,3.5,-2.62,0.89,31,46,34
Sparta,0.2,0.5,0.69,44,35,35
Lathrop,4.83,-4.97,-0.14,22,60,36
West Platte,-1.97,1.78,-0.19,49,33,37
Lafayette County,-2.01,1.76,-0.26,50,34,38
Stover,1.77,-2.12,-0.36,38,43,39
Palmyra,1.98,-2.71,-0.74,37,49,40
University Academy Charter,-6.49,5.37,-1.12,61,19,41
Lamar,3.67,-4.85,-1.17,29,59,42
Stockton,-3.26,1.96,-1.29,52,32,43
Elsberry,-7.73,5.93,-1.8,65,18,44
Lexington,-0.43,-2.41,-2.84,45,45,45
Laquey,0.21,-3.58,-3.36,43,53,46
Sarcoxie,3.02,-6.63,-3.61,32,65,47
Clearwater,6.63,-10.26,-3.63,15,74,48
Saxony Lutheran,0.93,-5.32,-4.39,40,61,49
Central (New Madrid County),-1.95,-2.66,-4.61,48,48,50
West County,4.61,-9.78,-5.17,23,72,51
Liberty (Mountain View),3.68,-9.14,-5.46,28,71,52
East Buchanan,-1.94,-3.73,-5.67,47,54,53
Veritas Christian Academy,-8.48,2.52,-5.96,67,29,54
Southwest (Washburn),-3.84,-3.74,-7.58,54,55,55
Jefferson (Festus),4.39,-12.27,-7.88,24,76,56
Bloomfield with Richland (Essex),-7.03,-1.64,-8.66,63,42,57
Holden,-7.76,-1.53,-9.29,66,40,58
Versailles,-4.59,-4.8,-9.39,56,58,59
Warsaw,-3.56,-6.36,-9.92,53,64,60
Lutheran North,-5.73,-4.49,-10.22,59,56,61
Cole Camp,-7.27,-3.18,-10.45,64,52,62
Diamond,-6.39,-4.8,-11.19,60,57,63
Scott City,-4.31,-8.01,-12.32,55,68,64
Kelly,-4.77,-7.65,-12.42,57,67,65
South Callaway,-4.79,-8.1,-12.89,58,69,66
Ava,-9.1,-6.05,-15.16,68,62,67
Woodland,-13.85,-2.62,-16.47,72,47,68
North Callaway,-10.77,-6.27,-17.04,70,63,69
Houston,-6.87,-11.09,-17.96,62,75,70
Brookfield,-11.59,-6.74,-18.33,71,66,71
Trenton,-19.68,-2.92,-22.59,76,50,72
Clark County,-20.37,-2.26,-22.63,77,44,73
Bowling Green,-15.99,-8.5,-24.49,74,70,74
Conway,-23.58,-3.16,-26.74,80,51,75
Cabool,-10.64,-17.16,-27.79,69,81,76
Bourbon,-19.42,-9.81,-29.23,75,73,77
Valley Park,-15.33,-16.37,-31.69,73,78,78
Windsor,-21.76,-13.58,-35.34,79,77,79
Hogan Prep Academy Charter,-21.13,-20.66,-41.79,78,84,80
KIPP KC Legacy,-25.77,-17.29,-43.06,81,82,81
Collegiate School of Med-Bio Science,-27.25,-16.4,-43.65,82,79,82
KIPP St. Louis Sr.,-28.16,-16.43,-44.6,83,80,83
Grandview (Hillsboro),-28.23,-17.98,-46.21,84,83,84
Kingston,-34.01,-23.1,-57.12,85,86,85
East Prairie,-36.35,-30.2,-66.55,86,88,86
Hancock,-45.5,-21.97,-67.47,87,85,87
Believe Acad Charter,-55.1,-23.81,-78.91,88,87,88
