Date,Home Team,Home Score,Away Team,Away Score
2025-11-20,Jefferson City,82,Camdenton,67
2025-11-20,Bloomfield with Richland (Essex),53,Charleston,60
2025-11-20,Oak Ridge,49,Greenville,57
2025-11-20,Ladue Horton Watkins,40,John Burroughs,70
2025-11-20,Higbee,56,La Plata,62
2025-11-20,Northeast (Kansas City),6,Notre Dame de Sion,58
2025-11-20,Kingsville,37,Otterville,63
2025-11-20,Believe Acad Charter,6,Riverview Gardens,63
2025-11-20,Vienna,49,Russellville,56
2025-11-20,Harrisonville,42,Smith-Cotton,66
2025-11-20,Lone Jack,43,Van Horn,39
2025-11-20,Ft. Zumwalt North,56,Villa Duchesne,19
2025-11-20,Pembroke Hill,54,Winnetonka,37
2025-11-21,Springfield Catholic,34,Aurora,40
2025-11-21,Galena,42,Billings with Hurley,56
2025-11-21,Christian Fellowship Sr.,48,Bunceton,39
2025-11-21,Plato,38,Cabool,33
2025-11-21,KIPP KC Legacy,15,Center,75
2025-11-21,Orchard Farm,36,Clayton,57
2025-11-21,Puxico,57,Clearwater,54
2025-11-21,Bolivar,67,Clinton,17
2025-11-21,Palmyra,15,Clopton,85
2025-11-21,Green Ridge,45,Crest Ridge,55
2025-11-21,Van Buren,29,Dora,48
2025-11-21,North Point,52,Duchesne,35
2025-11-21,Woodland,33,Fredericktown,44
2025-11-21,Holt,58,Ft. Zumwalt East,22
2025-11-21,Lathrop,50,Gallatin,23
2025-11-21,Meadville,33,Glasgow,42
2025-11-21,Polo,38,Hardin-Central,44
2025-11-21,Washington,42,Hermann,49
2025-11-21,Miller,67,Hollister,28
2025-11-21,School of the Ozarks,44,Humansville,37
2025-11-21,Wheatland,48,Hume,40
2025-11-21,Blair Oaks,69,Iberia,64
2025-11-21,Versailles,42,Jamestown,51
2025-11-21,Gainesville,76,Koshkonong,50
2025-11-21,Chilhowee,29,La Monte,31
2025-11-21,St. Elizabeth,61,Linn,38
2025-11-21,Warsaw,61,Macks Creek,16
2025-11-21,Paris with Faith Walk,58,Marion County,45
2025-11-21,Sherwood,23,Midway,51
2025-11-21,Lincoln College Prep,64,Miller Career Academy with Sumner,30
2025-11-21,Monroe City,45,Montgomery County,42
2025-11-21,Lakeland,35,Montrose with Ballard,42
2025-11-21,Sarcoxie,50,New Covenant Academy,20
2025-11-21,Guadalupe Centers Charter,18,Northland Christian,70
2025-11-21,Orrick,48,Northwestern (Mendon) with Keytesville,21
2025-11-21,Slater with Malta Bend,44,Prairie Home,56
2025-11-21,Oakville,62,Rockwood Summit,28
2025-11-21,Helias Catholic,38,Rolla,52
2025-11-21,Leeton,11,Sacred Heart,46
2025-11-21,Northwest (Hughesville),43,Santa Fe,17
2025-11-21,Dadeville,54,Sheldon,19
2025-11-21,Fulton,35,Southern Boone,49
2025-11-21,Capital City,43,St. James,35
2025-11-21,University Academy Charter,14,St. Teresa's Academy,44
2025-11-21,Harrisburg,74,Sturgeon,25
2025-11-21,Marshall,47,Sweet Springs,25
2025-11-21,Blue Springs,54,Truman,31
2025-11-21,Climax Springs,49,Tuscumbia,56
2025-11-21,Lutheran South,70,Valle Catholic with St. Paul Lutheran (Farmington),32
2025-11-21,Crystal City,49,Valley Park,42
2025-11-21,Elsberry,20,Veritas Christian Academy,31
2025-11-21,Tipton,68,West Plains,60
2025-11-21,Brookfield,20,Westran,57
2025-11-22,Saxony Lutheran,41,Arcadia Valley,66
2025-11-22,Potosi,70,Central (Cape Girardeau),41
2025-11-22,Lutheran South,61,Central (Park Hills),46
2025-11-22,Springfield Catholic,39,Chadwick,49
2025-11-22,Jasper,46,Diamond,52
2025-11-22,Wheaton,49,Everton,60
2025-11-22,Seckman,24,Farmington,65
2025-11-22,Pacific,30,Greenville,39
2025-11-22,New Franklin,53,Hallsville,18
2025-11-22,Hillsboro,31,Jackson,62
2025-11-22,Miller Career Academy with Sumner,47,Jennings,19
2025-11-22,Higbee,67,Lexington,49
2025-11-22,STEAM Academy,48,Lincoln College Prep,46
2025-11-22,Smith-Cotton,58,Mexico,33
2025-11-22,Woodland,36,Neelyville,60
2025-11-22,Van-Far,44,North Callaway,31
2025-11-22,Herculaneum,28,North County,67
2025-11-22,Russellville,67,Owensville,26
2025-11-22,St. Vincent,34,Principia,68
2025-11-22,Verona,48,Purdy,38
2025-11-22,Cuba,38,Richland,30
2025-11-22,Christian Fellowship Sr.,30,Southern Boone,58
2025-11-22,Crocker,51,Union,16
2025-11-22,Gateway Science Charter,41,Vashon,13
2025-11-22,Valle Catholic with St. Paul Lutheran (Farmington),49,West County,58
2025-11-22,Troy Buchanan,69,Willard,50
2025-11-23,Vashon,8,Jennings,61
2025-11-23,Gateway Science Charter,22,Miller Career Academy with Sumner,54
2025-11-24,Liberty (Mountain View),40,Alton,58
2025-11-24,Crane,25,Ash Grove,50
2025-11-24,Moberly,31,Battle,55
2025-11-24,Harrisonville,38,Belton,30
2025-11-24,Bayless,42,Bishop DuBourg,48
